stem-color,class,cap-shape,cap-diameter,gill-attachment,season,gill-color,stem-width,stem-height
11.0,1.0,6.0,1214.0,2.0,1.804,10.0,1524.0,3.696
11.0,1.0,4.0,550.0,2.0,0.888,10.0,1220.0,0.549
11.0,1.0,6.0,641.0,2.0,0.888,10.0,1577.0,0.748
11.0,1.0,4.0,605.0,2.0,0.943,10.0,1561.0,0.915
11.0,1.0,6.0,763.0,2.0,0.943,10.0,1396.0,0.68
11.0,1.0,4.0,708.0,2.0,0.888,10.0,1533.0,0.851
11.0,1.0,6.0,1354.0,2.0,0.888,10.0,1532.0,3.676
11.0,1.0,6.0,566.0,2.0,0.943,10.0,1353.0,0.545
11.0,1.0,6.0,713.0,2.0,0.943,10.0,1523.0,1.086
11.0,1.0,6.0,756.0,2.0,0.943,10.0,1392.0,1.054
11.0,1.0,6.0,640.0,2.0,0.888,10.0,1250.0,0.664
11.0,1.0,6.0,700.0,2.0,0.888,10.0,1414.0,0.955
11.0,1.0,6.0,614.0,2.0,0.888,10.0,1156.0,0.962
11.0,1.0,6.0,595.0,2.0,0.888,10.0,1415.0,0.604
11.0,1.0,6.0,721.0,2.0,0.943,10.0,1445.0,0.951
11.0,1.0,4.0,619.0,2.0,0.943,10.0,1195.0,0.39
11.0,1.0,6.0,614.0,2.0,0.888,10.0,1468.0,0.843
11.0,1.0,4.0,657.0,2.0,0.943,10.0,1477.0,0.632
11.0,1.0,4.0,705.0,2.0,0.888,10.0,1534.0,1.082
11.0,1.0,4.0,725.0,2.0,0.943,10.0,1747.0,1.368
11.0,1.0,4.0,736.0,2.0,0.888,10.0,1417.0,0.652
11.0,1.0,6.0,778.0,2.0,0.943,10.0,1514.0,0.811
11.0,1.0,6.0,594.0,2.0,0.888,10.0,1333.0,0.744
11.0,1.0,4.0,728.0,2.0,0.943,10.0,1577.0,1.165
11.0,1.0,6.0,591.0,2.0,0.943,10.0,1166.0,0.06
11.0,1.0,4.0,840.0,2.0,0.943,10.0,1465.0,0.962
11.0,1.0,6.0,642.0,2.0,0.943,10.0,1311.0,0.286
11.0,1.0,6.0,826.0,2.0,0.888,10.0,1593.0,1.05
11.0,1.0,6.0,660.0,2.0,0.943,10.0,1626.0,0.982
11.0,1.0,6.0,638.0,2.0,0.888,10.0,1635.0,0.652
11.0,1.0,6.0,758.0,2.0,0.888,10.0,1336.0,0.66
11.0,1.0,4.0,814.0,2.0,0.943,10.0,1681.0,1.189
11.0,1.0,4.0,804.0,2.0,0.888,10.0,1517.0,0.871
11.0,1.0,6.0,539.0,2.0,0.888,10.0,1394.0,0.787
11.0,1.0,4.0,717.0,2.0,0.888,10.0,1499.0,0.807
11.0,1.0,4.0,580.0,2.0,0.888,10.0,1368.0,0.33
11.0,1.0,6.0,635.0,2.0,0.943,10.0,1241.0,0.429
11.0,1.0,6.0,834.0,2.0,0.888,10.0,1591.0,1.014
11.0,1.0,2.0,1371.0,2.0,1.804,10.0,1566.0,3.612
11.0,1.0,6.0,1222.0,2.0,0.943,10.0,1476.0,3.772
11.0,1.0,4.0,677.0,2.0,0.888,10.0,1534.0,0.895
11.0,1.0,6.0,662.0,2.0,0.943,10.0,1755.0,1.058
11.0,1.0,6.0,736.0,2.0,0.943,10.0,1404.0,0.779
11.0,1.0,4.0,855.0,2.0,0.888,10.0,1575.0,1.046
11.0,1.0,6.0,802.0,2.0,0.888,10.0,1578.0,1.249
11.0,1.0,4.0,661.0,2.0,0.888,10.0,1150.0,0.437
11.0,1.0,4.0,821.0,2.0,0.888,10.0,1632.0,1.078
11.0,1.0,6.0,731.0,2.0,0.943,10.0,1319.0,0.481
11.0,1.0,6.0,1085.0,2.0,0.888,10.0,1581.0,3.776
11.0,1.0,4.0,582.0,2.0,0.943,10.0,1288.0,0.803
11.0,1.0,4.0,585.0,2.0,0.943,10.0,1332.0,0.676
11.0,1.0,6.0,1337.0,2.0,0.943,10.0,1520.0,3.776
11.0,1.0,6.0,675.0,2.0,0.943,10.0,1499.0,0.608
11.0,1.0,6.0,1261.0,2.0,1.804,10.0,1566.0,3.788
11.0,1.0,4.0,528.0,2.0,0.943,10.0,1355.0,0.266
11.0,1.0,6.0,793.0,2.0,0.943,10.0,1485.0,0.795
11.0,1.0,6.0,762.0,2.0,0.888,10.0,1484.0,0.724
11.0,1.0,4.0,599.0,2.0,0.888,10.0,1306.0,0.577
11.0,1.0,6.0,688.0,2.0,0.888,10.0,1421.0,0.847
11.0,1.0,6.0,607.0,2.0,0.888,10.0,1190.0,0.449
11.0,1.0,6.0,745.0,2.0,0.888,10.0,1749.0,0.959
11.0,1.0,4.0,705.0,2.0,0.888,10.0,1122.0,0.083
11.0,1.0,6.0,692.0,2.0,0.943,10.0,1307.0,0.652
11.0,1.0,4.0,752.0,2.0,0.888,10.0,1273.0,0.732
11.0,1.0,6.0,1305.0,2.0,0.943,10.0,1464.0,3.712
11.0,1.0,6.0,587.0,2.0,0.943,10.0,1531.0,0.596
11.0,1.0,4.0,699.0,2.0,0.943,10.0,1506.0,0.962
11.0,1.0,6.0,613.0,2.0,0.888,10.0,1352.0,0.66
11.0,1.0,2.0,1372.0,2.0,1.804,10.0,1545.0,3.807
11.0,1.0,6.0,563.0,2.0,0.943,10.0,1419.0,0.616
11.0,1.0,4.0,645.0,2.0,0.888,10.0,1301.0,0.517
11.0,1.0,6.0,738.0,2.0,0.888,10.0,1549.0,0.7
11.0,1.0,4.0,639.0,2.0,0.943,10.0,1509.0,0.616
11.0,1.0,6.0,648.0,2.0,0.888,10.0,1370.0,0.728
11.0,1.0,6.0,718.0,2.0,0.888,10.0,1291.0,0.72
11.0,1.0,6.0,618.0,2.0,0.943,10.0,1510.0,0.712
11.0,1.0,6.0,722.0,2.0,0.943,10.0,1331.0,0.672
11.0,1.0,2.0,1461.0,2.0,1.804,10.0,1557.0,3.807
11.0,1.0,6.0,780.0,2.0,0.943,10.0,1405.0,0.354
11.0,1.0,4.0,622.0,2.0,0.943,10.0,1482.0,1.169
11.0,1.0,6.0,692.0,2.0,0.888,10.0,1413.0,0.421
11.0,1.0,6.0,846.0,2.0,0.888,10.0,1613.0,1.173
11.0,1.0,4.0,664.0,2.0,0.943,10.0,1140.0,0.72
11.0,1.0,6.0,626.0,2.0,0.943,10.0,1443.0,0.37
11.0,1.0,6.0,835.0,2.0,0.888,10.0,1603.0,0.907
11.0,1.0,6.0,606.0,2.0,0.943,10.0,1239.0,0.254
11.0,1.0,2.0,1300.0,2.0,1.804,10.0,1563.0,3.835
11.0,1.0,6.0,763.0,2.0,0.888,10.0,1614.0,0.819
11.0,1.0,6.0,510.0,2.0,0.943,10.0,1172.0,0.409
11.0,1.0,6.0,547.0,2.0,0.888,10.0,1191.0,0.521
11.0,1.0,6.0,805.0,2.0,0.943,10.0,1330.0,0.21
11.0,1.0,6.0,837.0,2.0,0.888,10.0,1323.0,0.668
11.0,1.0,6.0,674.0,2.0,0.943,10.0,1667.0,0.429
11.0,1.0,4.0,573.0,2.0,0.888,10.0,1375.0,0.724
11.0,1.0,6.0,516.0,2.0,0.943,10.0,995.0,0.425
11.0,1.0,4.0,677.0,2.0,0.943,10.0,1477.0,0.736
11.0,1.0,4.0,592.0,2.0,0.888,10.0,1615.0,0.99
11.0,1.0,4.0,693.0,2.0,0.943,10.0,1245.0,0.863
11.0,1.0,6.0,624.0,2.0,0.888,10.0,1372.0,0.493
